class,subject,topic,link,assignment
10,Science,Writing A Chemical Equation,,
10,Science,Types of Chemical Reactions,,
10,Science,Effects of Oxidation Reactions,,https://web.iit.edu/sites/web/files/departments/academic-affairs/academic-resource-center/pdfs/RedOx_Rxns.pdf
10,Science,What we have Learnt,,
